,wl
0,43833
1,231321
2,10355
3,2765
4,74260
5,3475
6,6491
7,22239
8,20764
9,152407
10,13173
11,17353
12,45141
13,215902
14,6019
15,18068
16,1574
17,19416
18,22046
19,2650
20,553
21,7609
22,207930
23,12324
24,17992
25,2429
26,46366
27,63702
28,848
29,265708
30,212057
31,27624
32,4145
33,714277
34,18783
35,340
36,2
37,787
38,2052
39,555
40,43639
41,2500
42,1460
43,22683
44,31076
45,40407
46,4812
47,2402
48,13295
49,11883
50,78147
51,8041
52,6312
53,24080
54,1869
55,6444
56,133696
57,5145
58,46164
59,3746
60,11917
61,9854
62,861831
63,10582
64,271228
65,11493
66,11031
67,77469
68,604
69,33511
70,60240
71,705
72,26649
73,6426
74,228
75,110496
76,26220
77,2430
78,36168
79,29154
80,30303
81,88650
82,1316
83,8277
84,62143
85,6796
86,3139
87,2530
88,3098
89,12255
90,1807
91,41245
92,40435
93,1391891
94,24700
95,45534
96,25112
97,19613
98,52934
99,2201
100,121417
101,95136
102,17931
103,5127
104,4971
105,2999
106,17531
107,746
108,3571
109,11962
110,6555
111,26180
112,2203
113,182
114,1601
115,5264
116,6366
117,51517
118,11971
119,177438
120,444233
121,4250
122,59476
123,13506
124,9518
125,21828
126,3605044
127,26017
128,15099
129,25213
130,913970
131,43405
132,7013564
133,7202
134,120289
135,2609322
136,4843792
137,6751
138,10507
139,3269
140,19434
141,74707
142,127
143,7434
144,36937
145,5793
146,18450
147,21155
148,6805
149,2186
150,18445
151,292
152,12393
153,496970
154,139712
155,1154
156,9277
157,32221
158,222907
159,2499
160,5369
161,8238
162,198664
163,815
164,4598
165,103255
166,42530
167,19507
168,62415
169,29893
170,1300
171,3989
172,4355
173,4641
174,5051
175,9031
176,38
177,236
178,4868
179,4401
180,131150
181,1584
182,78508
183,4408
184,138
185,75978
186,30252
187,2374
188,954
189,4872
190,7656
191,26606
192,8462
193,0
194,58962
195,1788
196,2320
197,7582379
198,360
199,617
200,115191
201,33370
202,17166
203,107922
204,1192
205,37874
206,53917
207,237765
208,790602
209,25428
210,29708
211,146659
212,80029
213,326482
214,6388
215,182730
216,64428
217,181900
218,20604
219,9539
220,62654
221,17741
222,2109
223,651551
224,48139
225,1573
226,45676
227,36735
228,8010
229,1661
230,1659
231,4573
232,644793
233,30567
234,32912
235,92045
236,4012
237,112239
238,126
239,170556
240,183388
241,15015
242,1666
243,2182
244,2635
245,46696
246,22980
247,134805
248,2525
249,9780
250,14534
251,116755
252,75671
253,144480
254,4407
255,40431
256,1109
257,366448
258,974560
259,68721
260,137697
261,85050
262,15292
263,11723
264,39619
265,50260
266,24789
267,231157
268,9376
269,32165
270,3343
271,230
272,429464
273,3582088
274,28503
275,5309
276,19936
277,209325
278,64697
279,14827
280,9530
281,311379
282,24210
283,9935
284,3464
285,6165
286,14684
287,34860
288,120962
289,89486
290,827
291,9535
292,18556
293,30945
294,25327
295,120610
296,34691
297,5436
298,18375
299,7260
300,7210
301,232
302,2270
303,18048
304,156196
305,2032797
306,407698
307,80972
308,8517
309,24650
310,506432
311,178983
312,15769
313,24066
314,15734
315,29020
316,82251
317,379904
318,4295
319,5531
320,1048
321,27268
322,42439
323,56905
324,10381
325,18121
326,29584
327,28243
328,13104
329,265527
330,320088
331,221594
332,15179
333,17393
334,9681
335,405
336,62227
337,43571
338,17945
339,26326
340,40617
341,381626
342,492354
343,4030
344,87760
345,5270
346,2193
347,4062
348,15140
349,893
350,27350
351,0
352,370448
353,73493
354,156008
355,236241
356,113299
357,29423
358,98265
359,58635
360,8931
361,48617
362,9714
363,52310
364,133150
365,6355
366,14983
367,44393
368,21978
369,1551
370,66559
371,20757
372,38452
373,25857
374,6824
375,4046
376,16564
377,33804
378,46176
379,4675
380,17782
381,42364
382,718
383,62737
384,1
385,97537
386,1810
387,368
388,12167
389,8377
390,59668
391,1291
392,39947
393,61558
394,4458
395,4272
396,9444
397,19791
398,7463
399,8766
400,8213
401,9232
402,0
403,0
404,0
405,2818
406,2269
407,116
408,0
409,2306
410,289
411,208
412,258
413,1730
414,155
415,579
416,1036
417,3206
418,0
419,0
420,68558
421,0
422,324513
423,17682
424,6243
425,1078
426,15097
427,10377
428,31334
429,69442
430,77050
431,451
432,80301
433,19393
434,15015
435,38716
436,5246
437,16311
438,89250
439,66416
440,99262
441,3512
442,300
443,233
444,2040
445,406737
446,0
447,287037
448,151128
449,1663243
450,1255
451,18857
452,27312
453,19287
454,382
455,44268
456,150141
457,42451
458,249782
459,65162
460,3586
461,2317
462,261464
463,17675
464,17557
465,137207
466,40469
467,2596
468,158
469,18555
470,0
471,19997
472,2369
473,62832
474,516960
475,2630
476,0
477,0
478,24844
479,0
480,163516
481,58716
482,81372
483,210
484,664
485,350636
486,47
487,0
488,33548
489,67381
490,9904
491,6348
492,1998
493,18528
494,9338
495,0
496,135645
497,5339
498,2850
499,10303
500,21592
501,688838
502,17619
503,14291
504,4492
505,65738
506,16326
507,11064
508,1189303
509,512995
510,11592
511,5756
512,8621
513,3105
514,30540
515,205
516,138618
517,96705
518,3502
519,110765
520,48988
521,166
522,111
523,309
524,18185
525,0
526,105718
527,6423
528,97747
529,18097
530,66930
531,0
532,12930
533,125243
534,207
535,80734
536,6842
537,1082
538,182971
539,7670
540,0
541,8006
542,0
543,0
544,9796
545,0
546,0
547,0
548,8192
549,12006
550,0
551,470632
552,23406
553,89311
554,0
555,11726
556,1034
557,3509
558,9429
559,944344
560,11937
561,4381
562,6768
563,5933
564,42001
565,28259
566,7756
567,5643
568,16450
569,165426
570,83869
571,142489
572,12499
573,7059
574,1956
575,18751
576,0
577,2756
578,3002
579,8095
580,17859
581,0
582,17682
583,23526
584,7542
585,0
586,24471
587,784072
588,324533
589,1479
590,20819
591,0
592,0
593,23986
594,0
595,9364
596,15713
597,5849
598,1814
599,622
600,299281
601,722974
602,2127
603,18589
604,169443
605,0
606,13316
607,0
608,1918
609,66233
610,8703
611,932
612,3501
613,33007
614,1772
615,3786
616,35342
617,1220
618,4492
619,22405
620,690
621,5508
622,34861
623,2030
624,1755
625,200638
626,10174
627,9702
628,514
629,20647
630,42250
631,21880
632,8516
633,14736
634,45325
